,Cities,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (MPH)
0,rikitea,76,99,-23.12,138.6,80.13,17.47
1,rikitea,76,99,-23.12,138.6,80.13,17.47
2,mar del plata,0,55,-46.43,138.6,62.63,20.38
3,vaini,0,43,15.34,138.6,83.87,4.38
4,bria,0,58,6.54,138.6,64.34,12.77
5,karatuzskoye,12,61,53.61,138.6,-21.17,3.15
6,chokurdakh,80,72,70.62,138.6,-16.13,3.49
7,busselton,12,91,-33.64,138.6,73.38,19.37
8,mataura,64,70,-46.19,138.6,73.83,14.12
9,saskylakh,64,63,71.97,138.6,-13.79,4.72
10,qaanaaq,44,89,77.48,138.6,-11.13,6.96
11,taolanaro,44,89,77.48,138.6,-11.13,6.96
12,bethel,0,72,60.79,138.6,-5.69,14.45
13,arkhangelsk,90,97,64.54,138.6,33.8,6.71
14,baiyin,20,61,36.55,138.6,17.6,6.71
15,rikitea,76,99,-23.12,138.6,80.13,17.47
16,kavaratti,12,100,10.57,138.6,82.2,7.18
17,kieta,68,96,-6.22,138.6,81.44,15.23
18,mahebourg,40,74,-20.41,138.6,84.2,11.41
19,saleaula,40,74,-20.41,138.6,84.2,11.41
20,puerto ayora,76,100,-0.74,138.6,74.51,7.63
21,lebu,0,61,8.96,138.6,48.2,4.7
22,caravelas,64,100,-17.73,138.6,78.83,10.42
23,upernavik,12,100,72.79,138.6,-3.53,4.38
24,conde,68,95,-11.81,138.6,76.76,6.4
25,banda aceh,36,100,5.56,138.6,78.02,2.37
26,luderitz,0,60,-26.65,138.6,68.0,25.28
27,cabo san lucas,5,57,22.89,138.6,60.48,2.93
28,saint-philippe,1,77,45.36,138.6,11.73,5.82
29,mataura,64,70,-46.19,138.6,73.83,14.12
30,porto novo,40,88,-23.68,138.6,69.8,4.7
31,bredasdorp,92,88,-34.53,138.6,68.0,3.36
32,butaritari,88,100,3.07,138.6,81.89,15.79
33,nueva italia,75,88,-25.61,138.6,78.8,5.82
34,hermanus,88,98,-34.42,138.6,62.18,4.27
35,hermanus,88,98,-34.42,138.6,62.18,4.27
36,mataura,64,70,-46.19,138.6,73.83,14.12
37,puerto ayora,76,100,-0.74,138.6,74.51,7.63
38,hilo,1,78,19.71,138.6,64.98,4.7
39,hasaki,20,26,35.73,138.6,41.85,11.41
40,keetmanshoop,0,50,-26.57,138.6,64.65,5.61
41,butaritari,88,100,3.07,138.6,81.89,15.79
42,bluff,20,32,-23.58,138.6,96.02,16.46
43,berea,75,37,41.37,138.6,47.59,18.34
44,khorixas,92,54,-20.37,138.6,65.37,3.71
45,georgetown,75,94,6.8,138.6,75.2,2.24
46,punta arenas,75,76,-53.16,138.6,51.8,13.87
47,castro,68,100,-42.48,138.6,51.11,2.71
